,実験分類,区分,名称,宿主（誘導体含む）,備考・ベクター（誘導体含む）
0,認定宿主ベクター系,1B1,EK1,Escherichia coli K12,プラスミド（接合等により宿主以外の細菌に伝達されないもの）
1,認定宿主ベクター系,1B1,EK1,Escherichia coli K12,バクテリオファージの核酸（接合等により宿主以外の細菌に伝達されないもの）
2,認定宿主ベクター系,1B1,EK1,Escherichia coli B,プラスミド（接合等により宿主以外の細菌に伝達されないもの）
3,認定宿主ベクター系,1B1,EK1,Escherichia coli B,バクテリオファージの核酸（接合等により宿主以外の細菌に伝達されないもの）
4,認定宿主ベクター系,1B1,EK1,Escherichia coli C,プラスミド（接合等により宿主以外の細菌に伝達されないもの）
5,認定宿主ベクター系,1B1,EK1,Escherichia coli C,バクテリオファージの核酸（接合等により宿主以外の細菌に伝達されないもの）
6,認定宿主ベクター系,1B1,EK1,Escherichia coli W,プラスミド（接合等により宿主以外の細菌に伝達されないもの）
7,認定宿主ベクター系,1B1,EK1,Escherichia coli W,バクテリオファージの核酸（接合等により宿主以外の細菌に伝達されないもの）
8,認定宿主ベクター系,1B1,SC1,Saccharomyces cerevisiae,宿主のプラスミド
9,認定宿主ベクター系,1B1,SC1,Saccharomyces cerevisiae,宿主のミニクロモソーム
10,認定宿主ベクター系,1B1,SC1,Saccharomyces cerevisiaeと交雑可能な分類学上の種に属する酵母,宿主のプラスミド
11,認定宿主ベクター系,1B1,SC1,Saccharomyces cerevisiaeと交雑可能な分類学上の種に属する酵母,宿主のミニクロモソーム
12,認定宿主ベクター系,1B1,BS1,Bacillus subtilis Marburg168,宿主のプラスミド（接合による伝達性のないものに限る。）
13,認定宿主ベクター系,1B1,BS1,Bacillus subtilis Marburg168,バクテリオファージの核酸
14,認定宿主ベクター系,1B1,BS1,B.licheniformis（アミノ酸若しくは核酸塩基に対する複数の栄養要求性突然変異を有する株又は胞子を形成しない株）,宿主のプラスミド（接合による伝達性のないものに限る。）
15,認定宿主ベクター系,1B1,BS1,B.licheniformis（アミノ酸若しくは核酸塩基に対する複数の栄養要求性突然変異を有する株又は胞子を形成しない株）,バクテリオファージの核酸
16,認定宿主ベクター系,1B1,Thermus属細菌,Thermus thermophilus,宿主のプラスミド
17,認定宿主ベクター系,1B1,Thermus属細菌,Thermus aquaticus,宿主のプラスミド
18,認定宿主ベクター系,1B1,Thermus属細菌,Thermus flavus,宿主のプラスミド
19,認定宿主ベクター系,1B1,Thermus属細菌,Thermus caldophilus,宿主のプラスミド
20,認定宿主ベクター系,1B1,Thermus属細菌,Thermus ruber,宿主のプラスミド
21,認定宿主ベクター系,1B1,Rhizobium属細菌,Rhizobium radiobacter（ Agrobacterium tumefaciens）,これらの宿主のプラスミド
22,認定宿主ベクター系,1B1,Rhizobium属細菌,Rhizobium radiobacter（ Agrobacterium tumefaciens）,RK2系のプラスミド
23,認定宿主ベクター系,1B1,Rhizobium属細菌,Rhizobium rhizogenes,これらの宿主のプラスミド
24,認定宿主ベクター系,1B1,Rhizobium属細菌,Rhizobium rhizogenes,RK2系のプラスミド
25,認定宿主ベクター系,1B1,Pseudomonas putida,Pseudomonas putida KT2440,宿主への依存性が高く、宿主以外の細胞に伝達されないもの
26,認定宿主ベクター系,1B1,Strepotmyces属細菌,Strepotmyces avermitilis,宿主のプラスミド
27,認定宿主ベクター系,1B1,Strepotmyces属細菌,Strepotmyces avermitilis,SCP2
28,認定宿主ベクター系,1B1,Strepotmyces属細菌,Strepotmyces avermitilis,SLP1.2
29,認定宿主ベクター系,1B1,Strepotmyces属細菌,Strepotmyces avermitilis,pIJ101
30,認定宿主ベクター系,1B1,Strepotmyces属細菌,Strepotmyces avermitilis,アクチノファージφC31の核酸
31,認定宿主ベクター系,1B1,Strepotmyces属細菌,Strepotmyces coelicolo [Sviolaceoruberとして分類されるStrepotmyces coelicolor A3 ( 2 )株を含む。],宿主のプラスミド
32,認定宿主ベクター系,1B1,Strepotmyces属細菌,Strepotmyces coelicolo [Sviolaceoruberとして分類されるStrepotmyces coelicolor A3 ( 3 )株を含む。],SCP2
33,認定宿主ベクター系,1B1,Strepotmyces属細菌,Strepotmyces coelicolo [Sviolaceoruberとして分類されるStrepotmyces coelicolor A3 ( 4 )株を含む。],SLP1.2
34,認定宿主ベクター系,1B1,Strepotmyces属細菌,Strepotmyces coelicolo [Sviolaceoruberとして分類されるStrepotmyces coelicolor A3 ( 5 )株を含む。],pIJ101
35,認定宿主ベクター系,1B1,Strepotmyces属細菌,Strepotmyces coelicolo [Sviolaceoruberとして分類されるStrepotmyces coelicolor A3 ( 6 )株を含む。],アクチノファージφC31の核酸
36,認定宿主ベクター系,1B1,Strepotmyces属細菌,Strepotmyces lividans,宿主のプラスミド
37,認定宿主ベクター系,1B1,Strepotmyces属細菌,Strepotmyces lividans,SCP2
38,認定宿主ベクター系,1B1,Strepotmyces属細菌,Strepotmyces lividans,SLP1.2
39,認定宿主ベクター系,1B1,Strepotmyces属細菌,Strepotmyces lividans,pIJ101
40,認定宿主ベクター系,1B1,Strepotmyces属細菌,Strepotmyces lividans,アクチノファージφC31の核酸
41,認定宿主ベクター系,1B1,Strepotmyces属細菌,Strepotmyces parvulus,宿主のプラスミド
42,認定宿主ベクター系,1B1,Strepotmyces属細菌,Strepotmyces parvulus,SCP2
